name,locality,cuisines,rating,price_for_two,votes,city,source,price_band,primary_cuisine
Frontier,Sector 12,Bakery,3.2,200,8,Faridabad,kaggle,Budget (≤₹300),Bakery
Frontier,Paharganj,Bakery,3.1,200,7,New Delhi,kaggle,Budget (≤₹300),Bakery
Frontier,Rajinder Nagar,Bakery,3.1,200,6,New Delhi,kaggle,Budget (≤₹300),Bakery
Frontier,Shahdara,Bakery,3.1,200,6,New Delhi,kaggle,Budget (≤₹300),Bakery
Frontier,Naraina,Bakery,3.0,200,5,New Delhi,kaggle,Budget (≤₹300),Bakery
Lala Ji & Son's Sweets & Namkeen,Shahdara,Street Food,0.0,300,1,New Delhi,kaggle,Budget (≤₹300),Street Food
1st Crush Chocolates,Alaknanda,Desserts,0.0,300,2,New Delhi,kaggle,Budget (≤₹300),Desserts
House of Candy,Pvr City Centre Mall,Desserts,0.0,300,2,Gurgaon,kaggle,Budget (≤₹300),Desserts
Hunny Gajak Namkeen,Nit,Desserts,0.0,100,1,Faridabad,kaggle,Budget (≤₹300),Desserts
House of Candy,Saket,Desserts,0.0,200,1,New Delhi,kaggle,Budget (≤₹300),Desserts
House of Candy,Ambience Mall,Desserts,0.0,200,1,Gurgaon,kaggle,Budget (≤₹300),Desserts
Mukat Singh Kulfi Wala,Lawrence Road,Desserts,0.0,150,1,New Delhi,kaggle,Budget (≤₹300),Desserts
Pansy Cakes & Confectioners,Sector 8,Bakery,0.0,400,1,New Delhi,kaggle,Mid (₹300-700),Bakery
House of Candy,Mg Road,Desserts,0.0,200,0,Gurgaon,kaggle,Budget (≤₹300),Desserts
House of Candy,Sector 34,Desserts,0.0,200,0,Noida,kaggle,Budget (≤₹300),Desserts
House of Candy,Logix City Centre,Desserts,0.0,200,0,Noida,kaggle,Budget (≤₹300),Desserts
House of Candy,Sector 38,Desserts,0.0,200,0,Noida,kaggle,Budget (≤₹300),Desserts
Arti Sweet And Pastry Shop,Sector 55,"Mithai, Bakery, Fast Food",0.0,100,0,Faridabad,kaggle,Budget (≤₹300),Mithai
Candy House,Janakpuri,Desserts,0.0,160,0,New Delhi,kaggle,Budget (≤₹300),Desserts
DGN Chocolates,West Patel Nagar,Desserts,0.0,300,0,New Delhi,kaggle,Budget (≤₹300),Desserts
Ketofy,The Sapphire Mall,Healthy Food,3.7,300,0,Gurgaon,kaggle,Budget (≤₹300),Healthy Food
Papabubble,Ambience Mall,Desserts,0.0,400,0,Gurgaon,kaggle,Mid (₹300-700),Desserts
Pandit Ji Confectionary And Bakery,Shahdara,Bakery,0.0,400,0,New Delhi,kaggle,Mid (₹300-700),Bakery
Khandelwal Namkeen And Confectionery,Rohini,"Bakery, Fast Food",0.0,200,0,New Delhi,kaggle,Budget (≤₹300),Bakery
