name,locality,cuisines,rating,price_for_two,votes,city,source,price_band,primary_cuisine
Plum By Bent Chair,Aerocity,Asian,4.9,0,1545,New Delhi,kaggle,Budget (≤₹300),Asian
Pa Pa Ya,Select Citywalk Mall,"Asian, Chinese, Thai, Japanese",4.7,2500,3234,New Delhi,kaggle,Luxury (>₹1500),Asian
Ministry Of Beer,Connaught Place,"Continental, Italian, Asian, Momos",4.5,1500,3043,New Delhi,kaggle,Premium (₹700-1500),Continental
Detroit,Connaught Place,"Bar Food, Mexican, Italian",4.6,1500,1327,New Delhi,kaggle,Premium (₹700-1500),Bar Food
The Darzi Bar & Kitchen,Connaught Place,"North Indian, Chinese, Continental, Pizza",4.3,1500,3211,New Delhi,kaggle,Premium (₹700-1500),North Indian
The Drunken Botanist,Cyber Hub,"Continental, Italian, North Indian, Chinese",4.4,2000,5554,Gurgaon,kaggle,Luxury (>₹1500),Continental
Tamasha,Connaught Place,"Finger Food, North Indian, Continental, Italian",4.5,1600,8702,New Delhi,kaggle,Luxury (>₹1500),Finger Food
Hauz Khas Social,Hauz Khas,"Continental, American, Asian, North Indian, Chinese, Pizza, Biryani, Beverages",4.8,1300,14751,New Delhi,kaggle,Premium (₹700-1500),Continental
Local,Connaught Place,"North Indian, Continental, Momos",4.3,1600,6583,New Delhi,kaggle,Luxury (>₹1500),North Indian
AMA Cafe,Majnu Ka Tila,"Cafe, Juices",4.5,450,3749,New Delhi,kaggle,Mid (₹300-700),Cafe
Delhi Darbar Biryani Point,Uttam Nagar,Biryani,4.2,200,1009,New Delhi,kaggle,Budget (≤₹300),Biryani
Station Bar,Connaught Place,"Asian, Continental, North Indian, Mediterranean, Bar Food",4.8,1600,1009,New Delhi,kaggle,Luxury (>₹1500),Asian
AIR- An Ivory Region,Punjabi Bagh,"North Indian, Chinese, Continental, Asian",4.1,1400,2472,New Delhi,kaggle,Premium (₹700-1500),North Indian
Unplugged Courtyard,Connaught Place,"North Indian, Continental, Momos",4.1,1600,3492,New Delhi,kaggle,Luxury (>₹1500),North Indian
Lord Of The Drinks,Connaught Place,"European, Chinese, North Indian, Italian, Asian",4.5,2500,9540,New Delhi,kaggle,Luxury (>₹1500),European
Out Of The Box,Khan Market,"North Indian, Lebanese, Mexican, Italian, American",4.7,1550,2631,New Delhi,kaggle,Luxury (>₹1500),North Indian
Themis Barbecue House,Netaji Subhash Place,"North Indian, BBQ",4.5,1400,2645,New Delhi,kaggle,Premium (₹700-1500),North Indian
Moolchand Parantha,Lajpat Nagar 4,North Indian,4.2,300,2057,New Delhi,kaggle,Budget (≤₹300),North Indian
AB's - Absolute Barbecues,Mgf Metropolis Mall,"European, Mediterranean, North Indian",4.6,1600,4305,Gurgaon,kaggle,Luxury (>₹1500),European
Rajinder Da Dhaba,Safdarjung,"North Indian, Rolls",4.2,800,5498,New Delhi,kaggle,Premium (₹700-1500),North Indian
Diggin,Chanakyapuri,"Cafe, Italian, Mexican, Desserts",4.3,1300,2672,New Delhi,kaggle,Premium (₹700-1500),Cafe
Ardor 2.1,Connaught Place,"North Indian, Chinese, Continental, Italian",4.2,1800,3472,New Delhi,kaggle,Luxury (>₹1500),North Indian
Janta Eating House,Shahdara,North Indian,4.1,150,1135,New Delhi,kaggle,Budget (≤₹300),North Indian
Om Sweets & Snacks,Jail Road,"North Indian, South Indian, Street Food, Mithai",4.3,500,2135,New Delhi,kaggle,Mid (₹300-700),North Indian
Pandit Ji Parantha Hut,Ashok Vihar Phase 2,"North Indian, Street Food",4.1,150,1824,New Delhi,kaggle,Budget (≤₹300),North Indian
Singla's,Ip Extension,"North Indian, South Indian, Chinese, Continental, Mithai, Italian",4.1,500,1106,New Delhi,kaggle,Mid (₹300-700),North Indian
Summer House Cafe,Hauz Khas,"Italian, Finger Food, Salad",4.3,2000,4618,New Delhi,kaggle,Luxury (>₹1500),Italian
Warehouse Cafe,Connaught Place,"American, Continental, Italian, North Indian, Asian, Salad, Juices, Momos",4.1,2100,9988,New Delhi,kaggle,Luxury (>₹1500),American
PizzaExpress,Dlf Mall Of India,"Italian, Pizza, Salad",4.2,1900,2982,Noida,kaggle,Luxury (>₹1500),Italian
Zaika-e-Dilli,Shahdara,"North Indian, Chinese, South Indian",4.1,500,1467,New Delhi,kaggle,Mid (₹300-700),North Indian
Shree Gopal Ji Chole Bhature,Rohini,North Indian,4.3,200,1510,New Delhi,kaggle,Budget (≤₹300),North Indian
Feel Alive,Sector 29,"North Indian, Fast Food, Italian, Asian, Continental, Bar Food",4.9,1200,2095,Gurgaon,kaggle,Premium (₹700-1500),North Indian
Cafeteria & Co.,Vijay Nagar,"Continental, Mexican, Fast Food",4.6,900,4598,New Delhi,kaggle,Premium (₹700-1500),Continental
Hira Sweets,Laxmi Nagar,"Mithai, North Indian, South Indian, Fast Food",4.0,500,1298,New Delhi,kaggle,Mid (₹300-700),Mithai
Singla's,Sector 9,"Mithai, South Indian, Chinese, North Indian, Street Food, Fast Food",3.7,500,1873,New Delhi,kaggle,Mid (₹300-700),Mithai
Punjabi Angithi,Paschim Vihar,"North Indian, Chinese, Momos, Rolls, Fast Food",4.5,700,3853,New Delhi,kaggle,Mid (₹300-700),North Indian
The Junkyard Cafe,Connaught Place,"North Indian, Mediterranean, Asian, Salad, Momos",4.4,1500,5919,New Delhi,kaggle,Premium (₹700-1500),North Indian
Odeon Social,Connaught Place,"Continental, American, Asian, North Indian, Momos, Beverages",4.4,1300,6179,New Delhi,kaggle,Premium (₹700-1500),Continental
BlackJack,Punjabi Bagh,American,4.6,500,1888,New Delhi,kaggle,Mid (₹300-700),American
Cafe Wink,Anand Vihar,"Cafe, Continental, Italian",4.7,800,2538,New Delhi,kaggle,Premium (₹700-1500),Cafe
Pandit Ji Paranthe Wale,Ashok Vihar Phase 2,North Indian,4.0,200,1747,New Delhi,kaggle,Budget (≤₹300),North Indian
Prankster,Sector 29,"Bar Food, Modern Indian",4.2,1500,4899,Gurgaon,kaggle,Premium (₹700-1500),Bar Food
Chili's Grill & Bar,Pacific Mall,"Italian, Finger Food",4.9,2000,2804,New Delhi,kaggle,Luxury (>₹1500),Italian
Chili's Grill & Bar,Ambience Mall,"Italian, Finger Food",4.9,2000,6336,New Delhi,kaggle,Luxury (>₹1500),Italian
Om Sweets & Snacks,Sector 16,"North Indian, South Indian, Street Food, Mithai",4.3,500,1713,Faridabad,kaggle,Mid (₹300-700),North Indian
Openhouse Cafe,Connaught Place,"North Indian, Chinese, Italian, Biryani",4.2,2000,4984,New Delhi,kaggle,Luxury (>₹1500),North Indian
Gastronomica Kitchen & Bar,M Block Market,"European, Asian, North Indian, Italian, Continental",4.6,2000,3421,New Delhi,kaggle,Luxury (>₹1500),European
Tippling Street,Rajouri Garden,"North Indian, Italian, Continental",4.3,1400,1374,New Delhi,kaggle,Premium (₹700-1500),North Indian
TOS - Take Off Scarlet,Punjabi Bagh,"North Indian, Italian, Chinese, Continental",4.1,1400,2800,New Delhi,kaggle,Premium (₹700-1500),North Indian
Vapour Bar Exchange,Global Foyer Mall,"Continental, Italian, American, North Indian",4.8,1600,1017,Gurgaon,kaggle,Luxury (>₹1500),Continental
Band Baaja Baaraat,Rajouri Garden,"North Indian, Chinese, Continental",4.4,1300,1446,New Delhi,kaggle,Premium (₹700-1500),North Indian
The Luggage Room Kitchen And Bar,Connaught Place,"Italian, Chinese, Continental",4.5,1300,1768,New Delhi,kaggle,Premium (₹700-1500),Italian
Chili's Grill & Bar,Dlf Mall Of India,"Mexican, American, Italian, Burger",4.7,2000,4316,Noida,kaggle,Luxury (>₹1500),Mexican
Dilli Darbar,Shahdara,"North Indian, Chinese, South Indian",4.0,500,1316,New Delhi,kaggle,Mid (₹300-700),North Indian
The Barbeque Company,Sector 29,"North Indian, Chinese, BBQ",4.3,1200,2213,Gurgaon,kaggle,Premium (₹700-1500),North Indian
Monkey Bar,Vasant Kunj,"North Indian, South Indian, American, Pizza, Burger, Salad",4.3,2200,4464,New Delhi,kaggle,Luxury (>₹1500),North Indian
Pizza Live,Nit,"Pizza, Fast Food",4.0,300,2519,Faridabad,kaggle,Budget (≤₹300),Pizza
Nando's,Connaught Place,"Portuguese, Wraps, Burger, Salad",4.4,1200,3505,New Delhi,kaggle,Premium (₹700-1500),Portuguese
Bikanervala,Sector 29,"Mithai, Street Food, South Indian, North Indian, Chinese",4.1,600,2316,Gurgaon,kaggle,Mid (₹300-700),Mithai
The All American Diner,India Habitat Centre,"American, Salad",4.1,1500,5373,New Delhi,kaggle,Premium (₹700-1500),American
Pho King,Champa Gali,"Asian, Continental, Mexican, North Indian, Momos, Chinese",4.1,900,2387,New Delhi,kaggle,Premium (₹700-1500),Asian
Boa Village,Civil Lines,"Asian, Japanese, Korean, Chinese, Momos, Thai",4.4,1500,1805,New Delhi,kaggle,Premium (₹700-1500),Asian
Cyber Hub Social,Cyber Hub,"Continental, American, Asian, North Indian, European",4.4,2200,3548,Gurgaon,kaggle,Luxury (>₹1500),Continental
Hunger Strike,Amar Colony,"North Indian, Chinese",4.0,400,1969,New Delhi,kaggle,Mid (₹300-700),North Indian
Dhaba - Estd 1986 Delhi,Cyber Hub,North Indian,4.5,2200,3231,Gurgaon,kaggle,Luxury (>₹1500),North Indian
My Bar Headquarters,Connaught Place,"North Indian, Mughlai, Chinese",4.0,1300,5733,New Delhi,kaggle,Premium (₹700-1500),North Indian
Duty Free | Vayu Bar,Sector 29,"Continental, Mexican, North Indian, Italian, Asian",4.1,1700,1370,Gurgaon,kaggle,Luxury (>₹1500),Continental
The Barbeque Company,Karkardooma,"North Indian, Chinese, Continental, BBQ",4.6,1300,3096,New Delhi,kaggle,Premium (₹700-1500),North Indian
Xero Degrees,Connaught Place,"Cafe, Fast Food",4.3,750,1159,New Delhi,kaggle,Premium (₹700-1500),Cafe
Lazeez Affaire,Chanakyapuri,"North Indian, Mughlai",4.8,2000,1707,New Delhi,kaggle,Luxury (>₹1500),North Indian
Banter,Rajinder Nagar,"North Indian, Continental, Italian",4.7,1500,459,New Delhi,kaggle,Premium (₹700-1500),North Indian
Karim's,Jama Masjid,"Mughlai, North Indian, Kebab, Rolls",4.0,800,6724,New Delhi,kaggle,Premium (₹700-1500),Mughlai
Indian Accent,The Lodhi,Modern Indian,4.5,5000,3447,New Delhi,kaggle,Luxury (>₹1500),Modern Indian
Juggernaut,Kailash Colony,"South Indian, North Indian",4.4,600,1652,New Delhi,kaggle,Mid (₹300-700),South Indian
Punjabi Angithi,Janakpuri,"North Indian, Chinese, Rolls",4.4,400,2541,New Delhi,kaggle,Mid (₹300-700),North Indian
Burger King,Netaji Subhash Place,"Burger, Fast Food, Beverages",4.0,500,1472,New Delhi,kaggle,Mid (₹300-700),Burger
Diggin,Anand Lok,"Cafe, Continental, Italian",4.3,1400,4635,New Delhi,kaggle,Premium (₹700-1500),Cafe
Echoes Hudson Lane,Delhi University-Gtb Nagar,"Cafe, American, Chinese, Continental, North Indian, Italian",4.6,700,2726,New Delhi,kaggle,Mid (₹300-700),Cafe
The Burger Club,Rajouri Garden,"Burger, Fast Food, Beverages",4.3,350,2645,New Delhi,kaggle,Mid (₹300-700),Burger
Music & Mountains - Hillside Cafe,M Block Market,"Cafe, Italian, Continental, Fast Food, Salad",4.4,2100,3206,New Delhi,kaggle,Luxury (>₹1500),Cafe
SodaBottleOpenerWala,Cyber Hub,"Parsi, North Indian, Maharashtrian, Beverages, Bakery",4.3,1700,4185,Gurgaon,kaggle,Luxury (>₹1500),Parsi
Barbeque Nation,Sohna Road,"North Indian, Chinese, BBQ",4.2,1600,1141,Gurgaon,kaggle,Luxury (>₹1500),North Indian
Barbeque Nation,Connaught Place,"North Indian, Chinese, BBQ",4.4,1600,4722,New Delhi,kaggle,Luxury (>₹1500),North Indian
Sita Ram Diwan Chand,Paharganj,North Indian,4.1,200,3117,New Delhi,kaggle,Budget (≤₹300),North Indian
Om Sweets & Snacks,Sector 31,"North Indian, Mithai, Fast Food, South Indian, Chinese",4.2,500,2047,Gurgaon,kaggle,Mid (₹300-700),North Indian
Boombox Cafe Reloaded,Rajouri Garden,"North Indian, Continental, Chinese, Italian",4.1,1100,1467,New Delhi,kaggle,Premium (₹700-1500),North Indian
Unplugged Courtyard,Udyog Vihar,"North Indian, Continental, Momos",4.3,1500,921,Gurgaon,kaggle,Premium (₹700-1500),North Indian
Qureshi Kabab Corner,Jama Masjid,"Mughlai, Kebab",4.4,200,1031,New Delhi,kaggle,Budget (≤₹300),Mughlai
Pra Pra Prank,Cyber Hub,"Asian, Modern Indian",4.2,2100,1768,Gurgaon,kaggle,Luxury (>₹1500),Asian
Molecule Air Bar,Sector 29,"Bar Food, North Indian",4.3,1500,5068,Gurgaon,kaggle,Premium (₹700-1500),Bar Food
Burger King,Unity One Mall,"Burger, Fast Food, Beverages",4.0,500,1247,New Delhi,kaggle,Mid (₹300-700),Burger
The Flying Dutchman,Indirapuram Habitat Centre,"Bar Food, Finger Food, Fast Food",4.0,1900,1005,Ghaziabad,kaggle,Luxury (>₹1500),Bar Food
The Big Chill,Dlf Place Mall,Cafe,4.5,1500,4021,New Delhi,kaggle,Premium (₹700-1500),Cafe
United Coffee House,Connaught Place,"South Indian, Chinese, Asian, European, Mediterranean, North Indian",4.4,2500,3353,New Delhi,kaggle,Luxury (>₹1500),South Indian
The Brew Room,Sda Market,"Cafe, Italian, Continental, American, Pizza",4.0,750,1829,New Delhi,kaggle,Premium (₹700-1500),Cafe
Duty Free,Rajouri Garden,"Continental, Mexican, North Indian, Italian, Asian",4.0,1700,2909,New Delhi,kaggle,Luxury (>₹1500),Continental
Punjabi By Nature 2.0,Ambience Mall,"North Indian, Kebab",4.3,2200,2055,New Delhi,kaggle,Luxury (>₹1500),North Indian
SodaBottleOpenerWala,Dlf Mall Of India,"Parsi, North Indian, Beverages, Maharashtrian, Desserts, Bakery",4.3,1700,2834,Noida,kaggle,Luxury (>₹1500),Parsi
Saravana Bhavan,Connaught Place,"South Indian, Desserts, Beverages",4.4,500,7875,New Delhi,kaggle,Mid (₹300-700),South Indian
QD's Restaurant,Laxmi Nagar,"Chinese, North Indian, Fast Food, Momos",4.1,1100,2578,New Delhi,kaggle,Premium (₹700-1500),Chinese
Pirates of Grill,Dlf Mall Of India,"North Indian, Continental, Mughlai, Asian",4.2,1800,3217,Noida,kaggle,Luxury (>₹1500),North Indian
Berco's,Sector 110,"Chinese, Thai, Asian",4.3,1600,2098,Noida,kaggle,Luxury (>₹1500),Chinese
Chili's Grill & Bar,Connaught Place,"Mexican, American, Italian",4.6,1500,2851,New Delhi,kaggle,Premium (₹700-1500),Mexican
The Yellow Chilli,Sector 63,"North Indian, Mughlai",4.1,1400,1779,Noida,kaggle,Premium (₹700-1500),North Indian
Dana Choga,Sector 14,"North Indian, Chinese, Mughlai",4.7,600,2944,Gurgaon,kaggle,Mid (₹300-700),North Indian
SWAD - Desh Videsh Ka,Nehru Place,"North Indian, Chinese, South Indian",4.1,800,1422,New Delhi,kaggle,Premium (₹700-1500),North Indian
Phonebooth Reloaded,Delhi University-Gtb Nagar,"North Indian, Italian, Mexican, Continental",4.4,1000,1237,New Delhi,kaggle,Premium (₹700-1500),North Indian
Lord Of The Drinks Forum,Epicuria Food Mall,"European, Chinese, North Indian, Italian, Momos",4.4,2000,3969,New Delhi,kaggle,Luxury (>₹1500),European
RP's Restaurant,Malviya Nagar,"Mughlai, North Indian, Chinese",4.0,850,1465,New Delhi,kaggle,Premium (₹700-1500),Mughlai
Gulati,Pandara Road Market,"North Indian, Mughlai, Kebab",4.5,2500,6175,New Delhi,kaggle,Luxury (>₹1500),North Indian
Nehru Place Social,Epicuria Food Mall,"Continental, American, Asian, North Indian",4.5,1300,2683,New Delhi,kaggle,Premium (₹700-1500),Continental
Friction The Drinkery,Sector 29,"North Indian, Continental, Thai",4.7,1600,912,Gurgaon,kaggle,Luxury (>₹1500),North Indian
Verandah Moonshine,Punjabi Bagh,"North Indian, Mediterranean",4.3,1500,981,New Delhi,kaggle,Premium (₹700-1500),North Indian
Farzi Cafe,Connaught Place,Modern Indian,4.3,2500,3978,New Delhi,kaggle,Luxury (>₹1500),Modern Indian
Biryani Blues,Connaught Place,"Biryani, Hyderabadi",4.0,700,2082,New Delhi,kaggle,Mid (₹300-700),Biryani
Jungle Jamboree,Logix City Centre,"North Indian, Continental, Chinese, BBQ",4.3,1200,3175,Noida,kaggle,Premium (₹700-1500),North Indian
Saravana Bhavan,Janpath,"South Indian, Desserts, Beverages",4.3,500,2865,New Delhi,kaggle,Mid (₹300-700),South Indian
Decode Air Bar,Sector 29,"Modern Indian, Finger Food, Sushi, Bar Food, Italian, Asian, Pizza",4.6,1500,972,Gurgaon,kaggle,Premium (₹700-1500),Modern Indian
Castle's Barbeque,Pacific Mall,"North Indian, Chinese, BBQ",4.4,1600,1038,New Delhi,kaggle,Luxury (>₹1500),North Indian
The Runway Project by PizzaExpress,Select Citywalk Mall,"Italian, Continental",4.1,2000,1671,New Delhi,kaggle,Luxury (>₹1500),Italian
Master Of Malts,Connaught Place,"North Indian, Chinese",4.5,1600,2257,New Delhi,kaggle,Luxury (>₹1500),North Indian
CIA Call it Asiian,Greater Kailash 2 (Gk2),"Thai, Chinese, Sushi, Momos",4.8,1100,783,New Delhi,kaggle,Premium (₹700-1500),Thai
Al Jawahar,Jama Masjid,"Mughlai, North Indian, Kebab",4.0,500,2945,New Delhi,kaggle,Mid (₹300-700),Mughlai
Nando's,Epicuria Food Mall,"Portuguese, Wraps, Burger, Salad",4.3,1200,1211,New Delhi,kaggle,Premium (₹700-1500),Portuguese
The Feast House,Karol Bagh,"Continental, North Indian, American, Italian",4.2,1100,2451,New Delhi,kaggle,Premium (₹700-1500),Continental
Jamie's Italian,Ambience Mall,"Italian, Pizza",4.3,1500,2597,New Delhi,kaggle,Premium (₹700-1500),Italian
Abongchiiz,Delhi University-Gtb Nagar,"North Indian, Chinese, Continental, Momos",4.2,700,1524,New Delhi,kaggle,Mid (₹300-700),North Indian
Berco's,Indirapuram Habitat Centre,"Chinese, Thai, Asian",4.5,1600,1008,Ghaziabad,kaggle,Luxury (>₹1500),Chinese
Auro Kitchen & Bar,Hauz Khas,"Continental, Modern Australian, Italian",4.1,2000,1793,New Delhi,kaggle,Luxury (>₹1500),Continental
Imly,Rajendra Place,"Street Food, North Indian, Continental, Momos",4.0,1000,3499,New Delhi,kaggle,Premium (₹700-1500),Street Food
I Sacked Newton,Logix City Centre,"North Indian, Continental, Chinese, Italian",4.5,1700,1385,Noida,kaggle,Luxury (>₹1500),North Indian
Farzi Cafe,Cyber Hub,Modern Indian,4.3,1500,5937,Gurgaon,kaggle,Premium (₹700-1500),Modern Indian
Decode,Rajouri Garden,"Modern Indian, Finger Food",4.2,1500,2722,New Delhi,kaggle,Premium (₹700-1500),Modern Indian
Dragonfly Experience,Worldmark 1,"Finger Food, European, Asian",4.9,4000,349,New Delhi,kaggle,Luxury (>₹1500),Finger Food
Civil House,Khan Market,"European, Mediterranean",4.1,2100,1197,New Delhi,kaggle,Luxury (>₹1500),European
Indian Grill Room,Suncity Business Tower,"North Indian, Mughlai",4.7,1800,3229,Gurgaon,kaggle,Luxury (>₹1500),North Indian
Three Tuns Cafe & Bar,Unity One Mall,"Continental, North Indian, Italian, Asian",4.4,1400,975,New Delhi,kaggle,Premium (₹700-1500),Continental
The G.T. Road,Connaught Place,"North Indian, Mughlai",4.2,1500,2882,New Delhi,kaggle,Premium (₹700-1500),North Indian
Bo Tai,Mehrauli,Thai,4.5,3500,997,New Delhi,kaggle,Luxury (>₹1500),Thai
Parikrama - The Revolving Restaurant,Connaught Place,"North Indian, Chinese, Mughlai",4.0,2600,3919,New Delhi,kaggle,Luxury (>₹1500),North Indian
Nueva,Sangam Courtyard,"European, American, Asian",4.2,3000,900,New Delhi,kaggle,Luxury (>₹1500),European
K3 - JW Marriott New Delhi,Jw Marriott New Delhi,"North Indian, Chinese, Italian, Momos",4.2,3500,1457,New Delhi,kaggle,Luxury (>₹1500),North Indian
Guppy,Lodhi Colony,"Japanese, Seafood, Sushi, PokÃ©",4.4,2700,1048,New Delhi,kaggle,Luxury (>₹1500),Japanese
Sanadige,Chanakyapuri,"Seafood, North Indian, Mangalorean",4.7,2200,1699,New Delhi,kaggle,Luxury (>₹1500),Seafood
FIO Cookhouse and Bar,Epicuria Food Mall,"European, Italian, North Indian, Salad",4.2,3200,1390,New Delhi,kaggle,Luxury (>₹1500),European
Olive Bar & Kitchen,Mehrauli,"Mediterranean, Italian, European, Salad, Seafood",4.4,4000,2473,New Delhi,kaggle,Luxury (>₹1500),Mediterranean
SET'Z,Dlf Emporio Mall,"European, Chinese, Thai, Japanese, Iranian, North Indian, Italian",4.1,2800,1570,New Delhi,kaggle,Luxury (>₹1500),European
AnnaMaya - Andaz Delhi,Andaz Delhi,"North Indian, European",4.2,2500,1107,New Delhi,kaggle,Luxury (>₹1500),North Indian
Royal China,Nehru Place,"Chinese, Seafood, Tibetan",4.4,2200,1303,New Delhi,kaggle,Luxury (>₹1500),Chinese
Tonino,Mg Road,"Italian, Salad",4.2,3500,1443,New Delhi,kaggle,Luxury (>₹1500),Italian
Bukhara - ITC Maurya,Itc Maurya,"North Indian, Kebab",4.3,6500,4243,New Delhi,kaggle,Luxury (>₹1500),North Indian
Sevilla - The Claridges,The Claridges,"Spanish, Italian",4.3,4500,1558,New Delhi,kaggle,Luxury (>₹1500),Spanish
Kiyan - The Roseate,The Roseate,"Thai, European, North Indian, Pizza, Salad",4.4,4500,1044,New Delhi,kaggle,Luxury (>₹1500),Thai
Dum-Pukht - ITC Maurya,Itc Maurya,"Mughlai, Biryani, North Indian",4.4,5000,1322,New Delhi,kaggle,Luxury (>₹1500),Mughlai
DEL - Roseate House,Roseate House,"European, Oriental, North Indian",4.2,3000,846,New Delhi,kaggle,Luxury (>₹1500),European
Yellow Brick Road - Taj Vivanta,Taj Vivanta,"Continental, North Indian, South Indian, Italian",4.0,3500,1019,New Delhi,kaggle,Luxury (>₹1500),Continental
Threesixtyone Degrees - The Oberoi,The Oberoi,"Japanese, Italian, North Indian, Chinese",4.2,5500,971,Gurgaon,kaggle,Luxury (>₹1500),Japanese
21 Gun Salute,Sector 29,"North Indian, Mughlai, Asian, Continental, Salad, Kebab",4.0,2000,1759,Gurgaon,kaggle,Luxury (>₹1500),North Indian
Pluck - Pullman New Delhi Aerocity,Pullman New Delhi Aerocity,"Modern Indian, European, South Indian",4.4,3000,768,New Delhi,kaggle,Luxury (>₹1500),Modern Indian
Spectra - The Leela Ambience,The Leela Ambience,"North Indian, European, Asian",4.1,4000,880,Gurgaon,kaggle,Luxury (>₹1500),North Indian
Machan - The Taj Mahal Hotel,The Taj Mahal Hotel,"North Indian, European, Continental, Salad",4.0,5000,889,New Delhi,kaggle,Luxury (>₹1500),North Indian
The Imperial Spice,Connaught Place,"North Indian, Continental",4.3,2200,760,New Delhi,kaggle,Luxury (>₹1500),North Indian
Qla,Mehrauli,"European, Italian, Spanish",4.2,3000,825,New Delhi,kaggle,Luxury (>₹1500),European
"Tamra - Shangri-La's - Eros Hotel, New Delhi",Shangri-La'S - Eros Hotel,"North Indian, Continental, European, Chinese, Thai, Japanese",4.3,3800,898,New Delhi,kaggle,Luxury (>₹1500),North Indian
The Monk - The Galaxy Hotel,The Galaxy Hotel,"Chinese, Thai, Asian, Momos",4.1,2000,912,Gurgaon,kaggle,Luxury (>₹1500),Chinese
China Garden,M Block Market,Chinese,4.0,1900,827,New Delhi,kaggle,Luxury (>₹1500),Chinese
Eggspectation - Jaypee Siddharth,Jaypee Siddharth,"European, Continental, North Indian",4.2,3000,839,New Delhi,kaggle,Luxury (>₹1500),European
Spellbound,Gardens Galleria,"North Indian, Mughlai, Continental, Awadhi",4.1,2500,804,Noida,kaggle,Luxury (>₹1500),North Indian
Masabaa - The Treasury,Punjabi Bagh,"North Indian, Chinese, Continental, Italian",3.9,2300,810,New Delhi,kaggle,Luxury (>₹1500),North Indian
Seasonal Tastes - The Westin Gurgaon,The Westin Gurgaon,"North Indian, Asian",4.1,3400,755,Gurgaon,kaggle,Luxury (>₹1500),North Indian
Varq - The Taj Mahal Hotel,The Taj Mahal Hotel,"Seafood, North Indian, Kebab",4.2,4500,761,New Delhi,kaggle,Luxury (>₹1500),Seafood
Dhaba - The Claridges,The Claridges,North Indian,4.0,4300,754,New Delhi,kaggle,Luxury (>₹1500),North Indian
Lakhori - Haveli Dharampura,Chandni Chowk,"Mughlai, Street Food, Kebab",4.2,2500,722,New Delhi,kaggle,Luxury (>₹1500),Mughlai
Honk - Pullman New Delhi Aerocity,Pullman New Delhi Aerocity,"Japanese, Chinese, Thai",4.3,2500,739,New Delhi,kaggle,Luxury (>₹1500),Japanese
Prego - The Westin Gurgaon,The Westin Gurgaon,Italian,4.0,4000,664,Gurgaon,kaggle,Luxury (>₹1500),Italian
The Pavilion - ITC Maurya,Itc Maurya,"North Indian, South Indian, Continental, Chinese",4.1,4800,721,New Delhi,kaggle,Luxury (>₹1500),North Indian
The Great Kabab Factory - Radisson Blu Plaza Delhi Airport,Radisson Blu Plaza Delhi Airport,"North Indian, Mughlai, Kebab",4.2,2500,730,New Delhi,kaggle,Luxury (>₹1500),North Indian
La Piazza - Hyatt Regency,Hyatt Regency,"Italian, Salad",4.2,4500,639,New Delhi,kaggle,Luxury (>₹1500),Italian
24/7 Restaurant - The Lalit New Delhi,The Lalit New Delhi,"Continental, North Indian, Italian, Asian",3.9,5100,658,New Delhi,kaggle,Luxury (>₹1500),Continental
Baris,Greater Kailash 3 (Gk3),"Mediterranean, Turkish, Middle Eastern, Kebab, Falafel",4.2,2000,604,New Delhi,kaggle,Luxury (>₹1500),Mediterranean
Spring - Radisson Blu Dwarka,Radisson Blu,"Continental, North Indian",4.1,3000,656,New Delhi,kaggle,Luxury (>₹1500),Continental
Spice Art - Crowne Plaza,Crowne Plaza Hotel,"North Indian, Awadhi, Kebab",4.1,3500,566,New Delhi,kaggle,Luxury (>₹1500),North Indian
64/6 -  Country Inn & Suites,Country Inn & Suites By Carlson,"North Indian, Chinese, Thai, Continental",4.2,3000,587,Ghaziabad,kaggle,Luxury (>₹1500),North Indian
Mosaic - Crowne Plaza,Crowne Plaza Hotel,"Italian, Chinese, North Indian",3.9,3000,555,New Delhi,kaggle,Luxury (>₹1500),Italian
The Qube - The Leela Palace,The Leela Palace,"North Indian, Italian, Asian, Seafood, Continental",4.1,3000,615,New Delhi,kaggle,Luxury (>₹1500),North Indian
Artusi Ristorante in Piazza Horizon,Two Horizon Center,Italian,4.3,3500,533,Gurgaon,kaggle,Luxury (>₹1500),Italian
Kheer - Roseate House,Roseate House,North Indian,4.3,4500,535,New Delhi,kaggle,Luxury (>₹1500),North Indian
China Kitchen - Hyatt Regency,Hyatt Regency,Chinese,4.1,4500,601,New Delhi,kaggle,Luxury (>₹1500),Chinese
The Nook,Sohna Road,"North Indian, Mughlai, Chinese, Continental",4.0,1600,599,Gurgaon,kaggle,Luxury (>₹1500),North Indian
China Club,Mg Road,"Chinese, Asian, Seafood, Momos",4.1,3000,591,Gurgaon,kaggle,Luxury (>₹1500),Chinese
The One - Le Meridien,Le Meridien,Continental,4.0,4500,522,New Delhi,kaggle,Luxury (>₹1500),Continental
Diva - The Italian Restaurant,M Block Market,Italian,4.0,2500,530,New Delhi,kaggle,Luxury (>₹1500),Italian
Oasis - Vivanta by Taj,Vivanta By Taj,"Continental, North Indian, Asian, Italian",4.0,2500,495,Faridabad,kaggle,Luxury (>₹1500),Continental
House of Ming - The Taj Mahal Hotel,The Taj Mahal Hotel,Chinese,4.1,5500,509,New Delhi,kaggle,Luxury (>₹1500),Chinese
